English,German
"Good morning!","Guten Morgen!"
"How are you?","Wie geht es dir?"
"I am learning German.","Ich lerne Deutsch."
"Where is the train station?","Wo ist der Bahnhof?"
"Can you help me, please?","Kannst du mir bitte helfen?"
"I would like a coffee.","Ich hätte gerne einen Kaffee."
"This is my friend.","Das ist mein Freund."
"What time is it?","Wie spät ist es?"
"Have a nice day!","Schönen Tag noch!"
"See you tomorrow!","Bis morgen!"
